#Plane_1v2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             258
1    3.33696     1.65496             2498
2    6.11308     0.49619             181265
3    -2.57254     0.05249             1058670
4    -3.38518     0.13647             207160
5    -1.85136     0.38405             24317
6    0.50000     0.00000             1661
