#Plane_1v1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             440
1    -0.88240     2.76146             3033
2    3.80924     0.21288             362443
3    6.69575     0.17618             954479
4    -5.15091     0.19727             148765
5    -5.08009     0.51617             17450
6    0.50000     0.00000             785
