#Plane_2v1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             1545
1    -11.42105     1.38420             8615
2    5.97229     0.57513             86845
3    6.42518     0.18724             1311970
4    2.25602     0.40549             83015
5    -0.61854     1.07092             10503
6    10.50000     0.00000             971
