#Plane_1u2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             273
1    -3.01042     1.45594             2396
2    -1.52433     0.43588             24388
3    0.50651     0.05661             1339893
4    2.98070     0.31686             104858
5    1.16831     1.20293             10199
6    8.50000     0.00000             868
