#Plane_2x1
#Card       tzero  t_zero_err      entries
0    2.79958     1.27132             7530
1    1.45325     0.14201             595555
2    -2.27164     0.05396             693206
3    -1.91961     0.12209             232015
4    5.09193     1.48151             18623
