#Plane_2u1
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             1489
1    -18.36481     1.86056             7594
2    5.88165     0.26419             431331
3    6.13425     0.23852             857981
4    -1.15181     0.10156             175205
5    -3.63921     0.69264             21773
6    10.50000     0.00000             1650
