#Plane_1x2
#Card       tzero  t_zero_err      entries
0    2.22247     2.41867             2825
1    2.12004     0.13197             348713
2    -4.98197     0.08537             944307
3    -1.49364     0.11851             203958
4    0.19003     0.52532             24014
