#Plane_2v2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             875
1    -9.57967     1.13417             7148
2    5.33308     0.84368             45498
3    6.30139     0.18948             1309157
4    1.50339     0.30976             123432
5    5.45417     1.63204             13590
6    10.50000     0.00000             1549
