#Plane_1u1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             428
1    -33.51435     5.30254             3482
2    -0.51311     0.25047             49823
3    -0.62118     0.04706             1337447
4    2.45432     0.46717             67093
5    3.04617     1.42694             8206
6    10.50000     0.00000             442
