#Plane_1x1
#Wire       tzero  t_zero_err      entries
1    -2.41893     0.00000             311
2    -2.41893     0.00000             210
3    -2.41893     0.00000             247
4    -2.41893     0.00000             264
5    -2.41893     0.00000             302
6    -2.41893     0.00000             274
7    -2.41893     0.00000             258
8    -2.41893     0.00000             304
9    -2.41893     0.00000             340
10    -2.41893     0.00000             333
11    -2.41893     0.00000             383
12    -2.41893     0.00000             364
13    -2.41893     0.00000             358
14    -2.41893     0.00000             402
15    -2.41893     0.00000             379
16    -2.41893     0.00000             414
17    -2.41893     0.00000             496
18    -2.41893     0.00000             505
19    -2.41893     0.00000             491
20    -2.41893     0.00000             523
21    -2.41893     0.00000             610
22    -2.41893     0.00000             631
23    -2.41893     0.00000             812
24    -4.49253     0.76202             1094
25    -7.06714     1.19259             1517
26    -5.45503     0.66043             2185
27    -33.78455     14.33060             7161
28    -6.92973     0.13118             74563
29    -8.33388     0.15807             121689
30    -8.79424     0.16817             135194
31    -8.05366     0.19845             150649
32    -0.91934     0.09492             157021
33    -2.96049     0.03482             165075
34    -3.14907     0.03936             148626
35    -3.07500     0.03824             133580
36    -3.18337     0.07454             53871
37    -3.14221     0.06410             48979
38    -3.31208     0.06428             58456
39    -3.42285     0.05962             77820
40    -3.50690     0.05426             100930
41    -3.45664     0.04897             112934
42    -8.42297     0.19401             113773
43    -7.98927     0.19804             107128
44    -7.75480     0.18365             97472
45    -8.48954     0.24451             89386
46    -3.81283     0.06667             82239
47    -3.42818     0.05992             76058
48    -8.39180     0.24655             68354
49    -2.57679     0.06248             58487
50    -0.71805     0.03098             53489
51    -2.74559     0.07382             48282
52    -1.72249     0.06415             42524
53    -2.53562     0.08294             35219
54    -0.39952     0.05330             24820
55    0.55205     0.14366             12560
56    0.29206     0.30079             5888
57    0.63239     0.27557             5185
58    0.49711     0.29081             4502
59    0.62650     0.29001             4128
60    -3.27297     2.09486             3736
61    0.57735     0.35259             3533
62    -13.02543     4.62351             3226
63    1.02233     0.47959             3041
64    0.73975     0.32837             2845
65    -0.48369     3.41756             2543
66    3.55508     2.83215             2313
67    4.61583     1.56468             2159
68    -2.41893     27.73036             1950
69    -19.46317     14.79472             1926
70    -4.08459     5.15982             1733
71    -20.37038     12.22891             1646
72    -10.76486     11.16664             1639
73    -1.02756     4.07167             2101
74    4.57054     1.15327             3645
75    4.75200     0.91688             4706
76    6.13618     0.67381             4476
77    4.97934     1.48588             3369
78    5.76716     1.21470             2344
79    5.73910     1.10582             2588
