#Plane_2x2
#Wire       tzero  t_zero_err      entries
1    -1.01450     0.00000             624
2    -1.01450     0.00000             570
3    -1.01450     0.00000             490
4    -1.01450     0.00000             491
5    -1.01450     0.00000             513
6    -1.01450     0.00000             543
7    -1.01450     0.00000             616
8    -1.01450     0.00000             725
9    -1.01450     0.00000             889
10    -1.01450     0.00000             893
11    -1.01450     0.00000             984
12    -0.65232     0.92734             1017
13    -0.05061     0.64080             1038
14    -3.97168     2.27071             1129
15    0.22306     0.56214             1158
16    -4.46399     0.83358             1240
17    -8.55900     2.23779             1327
18    -2.79784     0.50550             1317
19    -3.71922     0.61890             1349
20    -3.46906     0.52817             1375
21    -10.80909     2.73802             1623
22    -3.71048     0.43416             1784
23    -4.90614     0.63727             2274
24    -4.03156     0.38416             3013
25    -3.46748     0.26105             4011
26    -3.35708     0.20861             5446
27    -3.35476     0.06056             111609
28    -3.42697     0.03224             259193
29    -3.32212     0.03439             217340
30    -3.30954     0.03693             181194
31    -8.33633     0.20692             147156
32    -2.79850     0.04151             102350
33    -2.86613     0.05025             72958
34    -2.67104     0.05574             56031
35    -2.79355     0.06210             47059
36    -2.80930     0.05860             50819
37    -1.15276     0.04846             61526
38    -2.85911     0.04889             72732
39    -2.80373     0.04727             80602
40    -2.76718     0.04648             86381
41    -2.74599     0.04501             87748
42    -2.76714     0.04607             86800
43    -2.88781     0.05105             84512
44    -2.73000     0.05039             80306
45    -2.92569     0.05083             76675
46    -2.50002     0.05147             72719
47    -2.89483     0.05847             69488
48    1.19490     0.04506             66643
49    1.31580     0.04135             64658
50    1.22857     0.04127             62418
51    1.15120     0.04516             54675
52    1.30776     0.05016             45675
53    1.14478     0.05055             38999
54    1.12486     0.06929             30693
55    1.11910     0.07515             19314
56    1.99399     0.37580             7665
57    1.52970     0.54527             5146
58    1.92096     0.45911             4989
59    0.92619     0.24154             4284
60    -9.02574     3.05676             4075
61    0.85624     0.37074             3751
62    2.35553     0.50595             3512
63    1.19465     0.33385             3270
64    -7.75196     4.73180             2765
65    6.20811     0.90399             2549
66    5.61774     1.05221             2634
67    -1.01450     30.62864             2367
68    4.56757     1.46447             2341
69    -6.09479     5.04264             2242
70    -1.01450     41.82662             2154
71    5.53329     1.34805             2097
72    -1.01450     37.06576             1978
73    4.09618     1.76737             1926
74    -8.99192     6.90607             1745
75    5.14718     1.36490             1720
76    5.04226     12.27015             1637
77    3.40477     1.96723             1675
78    -6.69862     6.65080             1581
79    3.71737     1.79643             2167
