#Plane_1x2
#Wire       tzero  t_zero_err      entries
1    -2.61429     0.00000             233
2    -2.61429     0.00000             250
3    -2.61429     0.00000             240
4    -2.61429     0.00000             256
5    -2.61429     0.00000             283
6    -2.61429     0.00000             277
7    -2.61429     0.00000             294
8    -2.61429     0.00000             353
9    -2.61429     0.00000             320
10    -2.61429     0.00000             363
11    -2.61429     0.00000             366
12    -2.61429     0.00000             356
13    -2.61429     0.00000             428
14    -2.61429     0.00000             376
15    -2.61429     0.00000             432
16    -2.61429     0.00000             496
17    -2.61429     0.00000             499
18    -2.61429     0.00000             490
19    -2.61429     0.00000             513
20    -2.61429     0.00000             562
21    -2.61429     0.00000             627
22    -2.61429     0.00000             695
23    -2.61429     0.00000             964
24    -0.82872     0.40799             1261
25    0.35110     0.37099             1837
26    0.01583     0.43946             2545
27    -2.33253     0.07893             30760
28    -2.74697     0.04306             110034
29    -2.67342     0.04437             129575
30    -2.43930     0.04527             143870
31    -2.71427     0.03737             158912
32    -8.76041     0.09003             169065
33    -8.72160     0.09492             158681
34    -8.77369     0.09837             149967
35    -8.76789     0.14164             83844
36    -8.74194     0.17718             48612
37    -8.60146     0.16624             52490
38    -8.74297     0.15158             67644
39    -8.94230     0.13330             89848
40    -8.81895     0.12033             107602
41    -8.78905     0.11220             114177
42    -8.94696     0.12362             109881
43    -8.92806     0.13664             101139
44    -8.80643     0.16455             92673
45    -8.47998     0.14736             84640
46    -8.39016     0.17035             78080
47    -8.74090     0.17756             72331
48    -3.23671     0.05779             62368
49    -2.96803     0.05892             55874
50    -3.22187     0.06581             50490
51    -3.07350     0.06611             45753
52    -3.14736     0.06922             39068
53    -3.32806     0.08808             30448
54    -6.76193     0.28914             18756
55    -3.82293     0.24524             7955
56    -3.78743     0.30551             5414
57    -3.45807     0.25589             4821
58    -3.56619     0.29066             4334
59    -5.00836     0.52488             3887
60    -9.92624     1.90861             3535
61    -3.79403     0.38654             3404
62    -4.46854     0.54332             3074
63    -3.62313     0.39332             2940
64    0.46116     0.37735             2414
65    -0.04273     0.56326             2300
66    -0.31679     0.66163             2052
67    -2.45744     1.17990             2015
68    -1.22531     0.84542             1834
69    -0.64796     0.68976             1810
70    14.28557     8.16757             1595
71    -0.14560     0.63387             1563
72    -1.74372     0.98058             1696
73    -2.94628     0.52259             2587
74    -2.67016     0.23239             4180
75    -0.21032     0.34990             4647
76    -0.54433     0.18091             3955
77    -1.20559     0.68282             2782
78    -1.10666     0.60168             2167
79    -0.34577     0.46624             2597
