#Plane_1v2
#Wire       tzero  t_zero_err      entries
1    -1.76799     0.00000             5
2    -1.76799     0.00000             5
3    -1.76799     0.00000             5
4    -1.76799     0.00000             19
5    -1.76799     0.00000             29
6    -1.76799     0.00000             30
7    -1.76799     0.00000             34
8    -1.76799     0.00000             50
9    -1.76799     0.00000             49
10    -1.76799     0.00000             66
11    -1.76799     0.00000             71
12    -1.76799     0.00000             73
13    -1.76799     0.00000             86
14    -1.76799     0.00000             125
15    -1.76799     0.00000             125
16    -1.76799     0.00000             133
17    -1.76799     0.00000             165
18    -1.76799     0.00000             156
19    -1.76799     0.00000             194
20    -1.76799     0.00000             223
21    -1.76799     0.00000             296
22    -1.76799     0.00000             259
23    -1.76799     0.00000             276
24    -1.76799     0.00000             361
25    -1.76799     0.00000             394
26    -1.76799     0.00000             384
27    -1.76799     0.00000             430
28    -1.76799     0.00000             486
29    -1.76799     0.00000             463
30    -1.76799     0.00000             513
31    -1.76799     0.00000             556
32    -1.76799     0.00000             515
33    -1.76799     0.00000             620
34    -1.76799     0.00000             659
35    -1.76799     0.00000             720
36    -1.76799     0.00000             828
37    1.09134     0.74369             1023
38    3.58078     0.73374             1345
39    1.77148     0.51086             1758
40    4.37339     0.40903             7356
41    3.04368     0.09080             28955
42    1.45715     0.04802             60822
43    1.60498     0.04667             88509
44    1.25479     0.02854             108975
45    -3.75304     0.05597             111840
46    -3.28267     0.04506             116395
47    -3.33328     0.04589             120338
48    -3.55704     0.05056             123305
49    -3.45592     0.04705             132230
50    -3.73604     0.04910             145960
51    -8.51011     0.18088             149049
52    -7.69158     0.17912             133818
53    -3.46963     0.04764             118606
54    -3.90853     0.05865             114322
55    -3.82339     0.05754             115234
56    -8.15864     0.20363             105588
57    -3.76674     0.06458             91360
58    -8.45266     0.22550             76696
59    -3.58467     0.07042             64007
60    -8.34790     0.32867             54581
61    -8.46437     0.23258             47672
62    -6.30657     0.20881             41043
63    -6.73055     0.19902             36117
64    -8.79354     0.30184             32041
65    -6.62268     0.21187             28003
66    -4.00376     0.13090             24516
67    -8.51208     0.33367             21910
68    -4.35651     0.16632             19316
69    -5.25513     0.19776             17445
70    -6.76837     0.27171             15829
71    -8.64552     0.37559             14062
72    -8.52883     0.41171             12464
73    -6.87053     0.30876             11153
74    -6.62747     0.36589             9491
75    -5.06021     0.28354             8438
76    -4.76821     0.32376             7295
77    -2.53804     0.17520             6007
78    -3.16030     0.68886             4988
79    -1.57362     0.57418             4233
80    -3.14663     0.30183             3618
81    -1.95849     0.45245             2960
82    -6.26389     1.45970             2542
83    -1.81252     0.40210             2259
84    -6.65811     1.76786             1941
85    -2.92443     0.45037             1958
86    -7.83733     2.18123             1968
87    -4.80950     1.48477             1792
88    -1.76799     25.01144             1631
89    -4.25392     1.52500             1515
90    -2.96371     0.53068             1373
91    -4.64974     1.85130             1190
92    -1.76799     0.00000             867
93    -1.76799     0.00000             694
94    -1.76799     0.00000             492
95    -1.76799     0.00000             327
96    -1.76799     0.00000             270
97    -1.76799     0.00000             215
98    -1.76799     0.00000             181
99    -1.76799     0.00000             138
100    -1.76799     0.00000             134
101    -1.76799     0.00000             102
102    -1.76799     0.00000             91
103    -1.76799     0.00000             0
104    -1.76799     0.00000             52
105    -1.76799     0.00000             25
106    -1.76799     0.00000             20
107    -1.76799     0.00000             13
