#Plane_2v1
#Wire       tzero  t_zero_err      entries
1    -0.88854     0.00000             21
2    -0.88854     0.00000             18
3    -0.88854     0.00000             32
4    -0.88854     0.00000             59
5    -0.88854     0.00000             69
6    -0.88854     0.00000             90
7    -0.88854     0.00000             127
8    -0.88854     0.00000             131
9    -0.88854     0.00000             170
10    -0.88854     0.00000             203
11    -0.88854     0.00000             237
12    -0.88854     0.00000             283
13    -0.88854     0.00000             325
14    -0.88854     0.00000             372
15    -0.88854     0.00000             383
16    -0.88854     0.00000             441
17    -0.88854     0.00000             518
18    -0.88854     0.00000             553
19    -0.88854     0.00000             639
20    -0.88854     0.00000             705
21    -0.88854     0.00000             756
22    -0.88854     0.00000             829
23    -0.88854     0.00000             828
24    -0.88854     0.00000             976
25    -25.36515     11.85870             1054
26    -17.22962     6.94901             1044
27    -4.58932     1.24685             1186
28    -24.02615     10.63274             1149
29    -6.60380     1.62172             1212
30    -9.94249     3.16788             1248
31    -17.13147     6.22616             1260
32    4.75102     1.36506             1477
33    2.95429     1.98183             1469
34    2.97796     1.75598             1508
35    0.99676     2.13842             1662
36    -2.71246     2.72241             1676
37    3.05371     0.52738             2072
38    3.78307     1.19827             2752
39    -3.60247     1.89271             3920
40    3.03492     0.25221             5522
41    1.02831     0.13743             7442
42    3.12278     0.22362             9289
43    1.53836     0.12031             12290
44    3.56301     0.19203             15240
45    1.63684     0.09737             19358
46    1.50335     0.10328             25354
47    3.14426     0.09471             34930
48    1.57933     0.06444             50140
49    8.28793     0.65337             99212
50    1.84564     0.03445             263244
51    1.65794     0.02420             402320
52    1.95276     0.02778             395262
53    1.50929     0.02493             319080
54    2.21195     0.04205             213947
55    1.74031     0.04608             120141
56    1.51891     0.05166             71460
57    1.96629     0.07325             56365
58    3.31440     0.09358             48113
59    3.08348     0.08629             41635
60    2.28805     0.14853             36588
61    1.71653     0.11080             30895
62    5.84960     0.26878             26787
63    3.37700     0.14053             23522
64    -0.72986     0.05026             22355
65    0.70849     0.10506             19120
66    -0.47527     0.06690             16765
67    0.55922     0.14917             14211
68    0.68692     0.14385             12327
69    0.46895     0.16470             10181
70    0.66116     0.18829             8531
71    0.87347     0.10761             7319
72    0.74632     0.16557             6313
73    0.85752     0.13970             5671
74    -0.88854     0.00000             0
75    1.09988     0.29069             4403
76    1.42128     0.55711             3705
77    1.78433     0.56511             3341
78    2.68159     0.38268             2825
79    0.58817     0.52045             2482
80    0.34178     0.35706             2345
81    -0.72406     0.68713             2123
82    -1.18491     0.83622             1851
83    -1.23783     0.83479             1590
84    -0.81126     0.83211             1345
85    -0.88854     0.00000             1161
86    -0.88854     0.00000             1162
87    -2.77633     3.80396             1035
88    -0.88854     0.00000             923
89    -0.88854     0.00000             879
90    -0.88854     0.00000             810
91    -0.88854     0.00000             678
92    -0.88854     0.00000             612
93    -0.88854     0.00000             535
94    -0.88854     0.00000             409
95    -0.88854     0.00000             372
96    -0.88854     0.00000             302
97    -0.88854     0.00000             238
98    -0.88854     0.00000             215
99    -0.88854     0.00000             195
100    -0.88854     0.00000             159
101    -0.88854     0.00000             128
102    -0.88854     0.00000             115
103    -0.88854     0.00000             85
104    -0.88854     0.00000             71
105    -0.88854     0.00000             48
106    -0.88854     0.00000             39
107    -0.88854     0.00000             35
