#Plane_1v1
#Wire       tzero  t_zero_err      entries
1    -1.72922     0.00000             4
2    -1.72922     0.00000             6
3    -1.72922     0.00000             9
4    -1.72922     0.00000             10
5    -1.72922     0.00000             21
6    -1.72922     0.00000             27
7    -1.72922     0.00000             39
8    -1.72922     0.00000             34
9    -1.72922     0.00000             66
10    -1.72922     0.00000             60
11    -1.72922     0.00000             73
12    -1.72922     0.00000             79
13    -1.72922     0.00000             85
14    -1.72922     0.00000             95
15    -1.72922     0.00000             130
16    -1.72922     0.00000             139
17    -1.72922     0.00000             150
18    -1.72922     0.00000             167
19    -1.72922     0.00000             198
20    -1.72922     0.00000             208
21    -1.72922     0.00000             233
22    -1.72922     0.00000             287
23    -1.72922     0.00000             284
24    -1.72922     0.00000             311
25    -1.72922     0.00000             368
26    -1.72922     0.00000             395
27    -1.72922     0.00000             384
28    -1.72922     0.00000             422
29    -1.72922     0.00000             465
30    -1.72922     0.00000             432
31    -1.72922     0.00000             550
32    -1.72922     0.00000             565
33    -1.72922     0.00000             572
34    -1.72922     0.00000             647
35    -1.72922     0.00000             665
36    -1.72922     0.00000             781
37    -1.72922     0.00000             970
38    1.32447     0.50796             1182
39    1.06644     0.44284             1503
40    -6.05250     2.87337             2968
41    1.08172     0.11570             16515
42    1.04975     0.04078             45347
43    1.17875     0.03671             75834
44    1.20923     0.03330             100640
45    1.21664     0.02672             114248
46    1.24267     0.02832             120238
47    1.12526     0.02900             123785
48    1.45480     0.03991             124434
49    2.10400     0.05367             128751
50    1.33860     0.03324             141605
51    2.34997     0.04959             153612
52    1.74414     0.04125             144055
53    1.56652     0.04374             127234
54    6.00328     0.12472             114927
55    1.43519     0.03839             116221
56    5.64545     0.13509             111099
57    2.11306     0.06294             98080
58    5.98395     0.14662             82786
59    1.95282     0.06875             68786
60    6.18482     0.16587             58395
61    6.51315     0.16460             49808
62    6.64437     0.17603             42081
63    3.35604     0.11252             36664
64    -8.51837     0.23150             33940
65    -6.84089     0.18621             29567
66    -6.94303     0.19368             26129
67    -8.20877     0.25845             23029
68    -8.75253     0.28144             20409
69    -8.41607     0.28591             18497
70    -8.76256     0.31171             16312
71    -7.04197     0.25634             14646
72    -7.03107     0.29190             12820
73    -5.80927     0.28262             11553
74    -8.43501     0.44145             9921
75    -8.13095     0.45330             8802
76    -8.77435     0.71807             7492
77    -6.41757     0.51572             6433
78    -6.95408     0.49249             5378
79    -7.49703     0.77423             4444
80    -5.34632     0.50355             4141
81    -7.40968     1.49949             3289
82    -5.59616     0.59455             2799
83    -1.72922     15.83474             2440
84    -3.70460     0.50930             2119
85    -5.52576     0.89585             2002
86    -10.65346     2.68559             2022
87    -7.00183     1.83840             1868
88    -6.00631     1.08063             1696
89    -3.05992     0.78186             1523
90    -4.78221     1.75583             1399
91    -11.55996     3.95746             1231
92    -9.42878     5.93441             1003
93    -1.72922     0.00000             738
94    -1.72922     0.00000             592
95    -1.72922     0.00000             381
96    -1.72922     0.00000             265
97    -1.72922     0.00000             225
98    -1.72922     0.00000             184
99    -1.72922     0.00000             151
100    -1.72922     0.00000             120
101    -1.72922     0.00000             117
102    -1.72922     0.00000             83
103    -1.72922     0.00000             54
104    -1.72922     0.00000             42
105    -1.72922     0.00000             36
106    -1.72922     0.00000             27
107    -1.72922     0.00000             18
