#Plane_1u1
#Wire       tzero  t_zero_err      entries
1    -2.68105     0.00000             1
2    -2.68105     0.00000             2
3    -2.68105     0.00000             11
4    -2.68105     0.00000             14
5    -2.68105     0.00000             21
6    -2.68105     0.00000             15
7    -2.68105     0.00000             29
8    -2.68105     0.00000             44
9    -2.68105     0.00000             60
10    -2.68105     0.00000             56
11    -2.68105     0.00000             71
12    -2.68105     0.00000             78
13    -2.68105     0.00000             90
14    -2.68105     0.00000             97
15    -2.68105     0.00000             143
16    -2.68105     0.00000             146
17    -2.68105     0.00000             178
18    -2.68105     0.00000             229
19    -2.68105     0.00000             213
20    -2.68105     0.00000             229
21    -2.68105     0.00000             252
22    -2.68105     0.00000             328
23    -2.68105     0.00000             303
24    -2.68105     0.00000             365
25    -2.68105     0.00000             426
26    -2.68105     0.00000             467
27    -2.68105     0.00000             447
28    -2.68105     0.00000             496
29    -2.68105     0.00000             547
30    -2.68105     0.00000             583
31    -2.68105     0.00000             636
32    -2.68105     0.00000             726
33    -2.68105     0.00000             807
34    -2.68105     0.00000             788
35    -2.68105     0.00000             824
36    -2.68105     0.00000             935
37    -2.68105     0.00000             967
38    -5.12002     1.83481             1060
39    -3.56419     0.64929             1276
40    -3.02619     0.48345             1967
41    -1.85746     0.34967             3085
42    -2.90159     0.22013             4810
43    -2.79885     0.17443             6979
44    -2.67496     0.13646             9397
45    -2.87226     0.12236             12589
46    -2.90137     0.10410             16310
47    -3.22842     0.11095             21127
48    -2.88116     0.08125             29129
49    -2.89889     0.06013             57766
50    -2.92694     0.03388             158457
51    -2.88385     0.02516             276461
52    -2.90439     0.02267             343474
53    -2.91545     0.02225             363838
54    -3.03460     0.02320             329039
55    -0.00363     0.04846             240114
56    -2.76941     0.03530             148493
57    -2.95122     0.04919             81144
58    -2.91098     0.05915             52329
59    -2.90059     0.06441             43864
60    -2.88296     0.07115             36620
61    -2.94950     0.07635             30418
62    -2.70213     0.08824             25720
63    -2.70973     0.08946             21681
64    0.61726     0.11923             19267
65    1.00138     0.09097             15985
66    0.82469     0.17779             12987
67    0.67405     0.17462             10948
68    0.73073     0.14924             9005
69    0.81622     0.13974             7552
70    0.45004     0.21783             6484
71    0.91880     0.52296             5562
72    0.72134     0.23539             4844
73    0.63837     0.26421             4335
74    1.23929     0.63953             3598
75    0.91749     0.44175             3179
76    2.38232     0.57242             2744
77    1.47513     0.34500             2440
78    2.72893     0.53433             2023
79    -2.57664     2.74372             1780
80    -2.68105     32.25893             1620
81    -5.61762     4.08551             1342
82    1.40506     1.09052             1325
83    -2.68105     19.98495             1201
84    -2.68105     18.56019             1138
85    -6.68766     5.40048             1141
86    1.16968     0.73119             1054
87    -2.68105     0.00000             968
88    -2.68105     0.00000             872
89    -2.68105     0.00000             724
90    -2.68105     0.00000             674
91    -2.68105     0.00000             504
92    -2.68105     0.00000             461
93    -2.68105     0.00000             327
94    -2.68105     0.00000             284
95    -2.68105     0.00000             189
96    -2.68105     0.00000             151
97    -2.68105     0.00000             120
98    -2.68105     0.00000             112
99    -2.68105     0.00000             87
100    -2.68105     0.00000             78
101    -2.68105     0.00000             58
102    -2.68105     0.00000             34
103    -2.68105     0.00000             27
104    -2.68105     0.00000             22
105    -2.68105     0.00000             26
106    -2.68105     0.00000             14
107    -2.68105     0.00000             10
