#Plane_2u1
#Wire       tzero  t_zero_err      entries
1    -0.89893     0.00000             11
2    -0.89893     0.00000             35
3    -0.89893     0.00000             39
4    -0.89893     0.00000             52
5    -0.89893     0.00000             70
6    -0.89893     0.00000             95
7    -0.89893     0.00000             106
8    -0.89893     0.00000             143
9    -0.89893     0.00000             185
10    -0.89893     0.00000             203
11    -0.89893     0.00000             221
12    -0.89893     0.00000             282
13    -0.89893     0.00000             306
14    -0.89893     0.00000             346
15    -0.89893     0.00000             402
16    -0.89893     0.00000             459
17    -0.89893     0.00000             462
18    -0.89893     0.00000             562
19    -0.89893     0.00000             571
20    -0.89893     0.00000             633
21    -0.89893     0.00000             679
22    -0.89893     0.00000             727
23    -0.89893     0.00000             770
24    -0.89893     0.00000             816
25    -0.89893     0.00000             925
26    -0.89893     0.00000             931
27    -0.89893     0.00000             987
28    -0.89893     0.00000             1043
29    -0.89893     0.00000             1052
30    -0.89893     33.15219             1003
31    0.33179     0.63842             1078
32    1.64586     2.42702             1229
33    2.83130     2.43389             1231
34    -0.56495     4.45864             1314
35    1.88034     0.75008             1375
36    3.05907     0.68305             1574
37    3.56155     1.53678             1686
38    3.18849     1.55945             1966
39    -3.55600     2.40768             2518
40    0.24423     1.14459             6530
41    3.19786     0.12440             25527
42    1.13043     0.03298             57594
43    1.07006     0.02255             88930
44    1.29415     0.02962             112947
45    1.27136     0.02866             130745
46    1.89318     0.06295             139880
47    1.08113     0.01915             147552
48    2.18087     0.04590             149358
49    1.27707     0.02741             150049
50    1.66422     0.03974             142298
51    1.22618     0.02988             115546
52    1.31491     0.03894             91556
53    3.35595     0.07147             82165
54    1.60521     0.04637             88289
55    1.36608     0.03753             93466
56    2.12567     0.06090             93063
57    1.56990     0.04777             87567
58    1.39126     0.04609             78673
59    1.49162     0.05612             69441
60    1.18478     0.04786             59813
61    1.95536     0.08825             52343
62    2.05123     0.10732             44653
63    1.93175     0.09165             39421
64    -3.20195     0.07771             37647
65    -3.06138     0.07897             33878
66    -3.02089     0.07560             30634
67    -3.03993     0.08053             26839
68    -3.09208     0.10727             24032
69    -3.30027     0.11125             21699
70    -3.16311     0.11710             18833
71    -3.09380     0.10711             16781
72    -3.05213     0.12138             15289
73    -3.02527     0.11637             13556
74    -2.83246     0.12633             12311
75    -2.92449     0.13230             10783
76    -1.11431     0.09969             9506
77    -2.85805     0.15097             8490
78    -1.21046     0.15854             7352
79    -3.03886     0.19997             6369
80    -5.10088     0.41687             5872
81    -3.81437     0.28488             4994
82    -3.19798     0.22642             4364
83    -4.07615     0.39013             3600
84    -4.38086     0.51418             2999
85    -3.47686     0.37786             2420
86    -5.65132     1.35711             2035
87    -8.05575     2.26692             1800
88    -0.89893     16.30728             1555
89    -3.11527     1.26301             1407
90    -0.89893     0.00000             1276
91    -15.26411     6.51384             1154
92    -0.89893     0.00000             973
93    -0.89893     0.00000             827
94    -0.89893     0.00000             762
95    -0.89893     0.00000             583
96    -0.89893     0.00000             515
97    -0.89893     0.00000             448
98    -0.89893     0.00000             363
99    -0.89893     0.00000             323
100    -0.89893     0.00000             269
101    -0.89893     0.00000             201
102    -0.89893     0.00000             176
103    -0.89893     0.00000             136
104    -0.89893     0.00000             103
105    -0.89893     0.00000             98
106    -0.89893     0.00000             61
107    -0.89893     0.00000             46
