#Plane_2u2
#Wire       tzero  t_zero_err      entries
1    -1.19478     0.00000             17
2    -1.19478     0.00000             36
3    -1.19478     0.00000             40
4    -1.19478     0.00000             58
5    -1.19478     0.00000             87
6    -1.19478     0.00000             93
7    -1.19478     0.00000             126
8    -1.19478     0.00000             144
9    -1.19478     0.00000             191
10    -1.19478     0.00000             198
11    -1.19478     0.00000             228
12    -1.19478     0.00000             288
13    -1.19478     0.00000             351
14    -1.19478     0.00000             349
15    -1.19478     0.00000             411
16    -1.19478     0.00000             463
17    -1.19478     0.00000             482
18    -1.19478     0.00000             542
19    -1.19478     0.00000             588
20    -1.19478     0.00000             643
21    -1.19478     0.00000             681
22    -1.19478     0.00000             742
23    -1.19478     0.00000             761
24    -1.19478     0.00000             856
25    -1.19478     0.00000             991
26    -1.19478     0.00000             950
27    2.93991     2.16561             1022
28    -1.19478     0.00000             1084
29    3.83777     2.04406             1039
30    -10.07714     8.72308             1057
31    5.94645     1.29621             1167
32    -1.19478     16.47962             1123
33    -1.19478     0.00000             1225
34    3.01833     0.73860             1306
35    3.17340     1.70605             1401
36    -6.59960     5.41635             1604
37    -10.97754     4.99567             1809
38    2.68995     0.48263             2119
39    4.11982     0.66753             3175
40    1.33424     0.08957             13902
41    2.98014     0.10188             39954
42    1.11258     0.02632             73915
43    1.20524     0.02699             101768
44    1.17134     0.02318             122326
45    -3.44682     0.04733             127361
46    -3.04048     0.03840             134643
47    -3.26665     0.04234             142722
48    -3.26758     0.04104             146049
49    -3.32440     0.04149             147001
50    -3.52163     0.05026             126018
51    -8.35007     0.25336             101513
52    -3.58791     0.06338             83465
53    -3.73292     0.06777             84770
54    -3.89567     0.06773             91983
55    -3.81987     0.06580             94979
56    -3.52741     0.05923             92702
57    -8.36668     0.24969             85067
58    -8.51830     0.23960             75962
59    -4.17238     0.08739             66530
60    -8.32310     0.28756             57517
61    -2.97632     0.06277             51878
62    -2.93456     0.06315             44963
63    -2.82784     0.06808             40268
64    -2.78436     0.07566             35537
65    -2.88794     0.07608             32191
66    -2.93566     0.08357             28528
67    -2.98912     0.08570             25484
68    -3.03755     0.08846             22749
69    -3.23834     0.11847             20378
70    -3.17348     0.11695             18199
71    -3.17749     0.11585             16111
72    -3.20031     0.14480             15016
73    -3.16548     0.13712             13313
74    -3.05594     0.12878             12025
75    -3.04360     0.16026             10582
76    -3.24398     0.18050             9294
77    -1.53072     0.15923             7967
78    -2.67731     0.18019             6890
79    -1.70093     0.23571             6081
80    -1.64530     0.21821             5240
81    -2.85238     0.21825             4449
82    -9.46336     1.79345             3853
83    -3.10075     0.28378             3192
84    -3.81028     0.49003             2682
85    -2.71001     0.59879             2227
86    -2.34702     0.61270             1936
87    -3.23055     0.50124             1738
88    -11.03830     4.03285             1457
89    -6.61890     2.22125             1415
90    -1.19478     20.34923             1263
91    -16.95641     7.50249             1090
92    -1.19478     0.00000             932
93    -1.19478     0.00000             842
94    -1.19478     0.00000             648
95    -1.19478     0.00000             597
96    -1.19478     0.00000             510
97    -1.19478     0.00000             409
98    -1.19478     0.00000             375
99    -1.19478     0.00000             302
100    -1.19478     0.00000             245
101    -1.19478     0.00000             199
102    -1.19478     0.00000             153
103    -1.19478     0.00000             118
104    -1.19478     0.00000             88
105    -1.19478     0.00000             89
106    -1.19478     0.00000             54
107    -1.19478     0.00000             35
