#Plane_2u2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             904
1    2.47045     1.63423             6507
2    5.14093     0.29921             219791
3    -2.44415     0.04570             989715
4    -0.79445     0.14693             236536
5    -1.57485     0.38606             31214
6    17.28234     9.77045             2795
