#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -0.10808     0.84586             6997
1    -2.00649     0.05410             562179
2    0.94565     0.07751             709548
3    4.07019     0.24201             250284
4    0.48354     1.30026             19817
